"politic.axis1"	"politic.axis2"	"industry.axis1"	"industry.axis2"	"agriculture.axis1"	"agriculture.axis2"	"superblock.axis1"	"superblock.axis2"
"Argentina"	0.474731571211241	0.434360918496348	0.217703377483392	-0.263317987257179	0.805848105494	-0.173540879792096	0.248736427481894	-0.053917355184927
"Australia"	-1.07797712764244	-0.279014519999568	1.30544522193793	-0.013311446720575	1.05079911422317	0.0731500820754549	-0.607186612614494	-0.286286255438759
"Austria"	-0.333321245559399	0.775771696600352	0.245377646258596	0.120360580400202	0.327413604197155	0.291063767710438	-0.119092464289444	0.361539920741604
"Belgium"	-0.577228494209156	-0.125024430329819	1.44478446065973	-0.359951735664677	-0.671260973288911	-1.09215634639442	-0.958797722719302	-0.505858399133278
"Bolivia"	1.01091858543202	-0.426681190342183	-1.5264094082956	-0.478896087718501	0.933902413183529	0.179692393025065	1.18639862587419	-0.218316712916067
"Brasil"	0.175163054254797	0.92083776059579	-0.616445605935931	0.179466480060114	0.646117098959183	0.508128103296826	0.479742332920904	0.502198339191105
"Canada"	-0.640777828232078	-0.276124055960706	1.60235812415481	0.052534382103032	-1.28251163837887	-0.0555901359290234	-1.20009353802312	0.0146837926519169
"Chile"	-0.00646955710934491	0.743753264452756	-0.327826255000085	-0.546729649127782	1.02770239697025	0.434589054120842	0.399837422906052	0.238684648803022
"Colombia"	0.514415944073153	0.458226991592475	-0.413726181172855	0.237593239651412	0.676481768644591	0.362185270832741	0.498784624154616	0.289576021591516
"CostaRica"	0.178679330317317	0.628190724197764	-0.453740189887082	0.197989300972809	0.762858747867379	0.831037012963205	0.440467034706941	0.518691451994499
"Cuba"	1.13001740906099	-0.660170764339434	-0.16991857184476	0.0941113271430859	0.63147602481805	-0.54005173324388	0.561240914378489	-0.516209023305457
"Denmark"	-1.02538016305891	-0.202377851311539	0.789165063570808	0.188275136042714	-1.67030342987102	0.179490688870046	-1.06065307570915	0.23642407374384
"DominicanRepublic"	0.359495137669805	-0.387141117879683	-0.70235692015368	-0.0195765320741867	0.601558765474472	0.0128974111697904	0.558851112176677	-0.204232250303359
